Ayuntamiento de Madrid. Colegio Oficial de Arquitectos de Madrid.|Colegio Oficial de Arquitectos de Madrid|10||||||||
Ayuntamiento de Montilla, Córdoba (España).|Ayuntamiento de Montilla, Córdoba|10||||||||
Ayuntamiento de San José de la Rinconada, Sevilla.|Ayuntamiento de San José de la Rinconada, Sevilla|10||||||||
Bader Uruguay|Bader, Uruguay|8||||||||
Banco Central del Uruguay|Banco Central del Uruguay|3||||||||
Banco Comercial|Banco Comercial|8||||||||
Banco Interamericano de Desarrollo|Banco Interamericano de Desarrollo|10||||||||
Banco Interamericano de Desarrollo - DICYT|Banco Interamericano de Desarrollo|10|Dirección de Innovación, Ciencia y Tecnología |3||||||
Banco Mundial|Banco Mundial|10||||||||
Banco Mundial - Programa Infodev|Banco Mundial|10||||||||
Banco Mundial, MGAP, BSE.|Banco Mundial|10|Ministerio de Ganadería, Agricultura y Pesca|3|Banco de Seguros del Estado|3||||
Barraca Deambrossi|Barraca Deambrosi|5||||||||
Beethoven-Haus|Beethoven-Haus|9||||||||
Berliner Künstlerprogramm des DAAD|Berliner Künstlerprogramm des DAAD|8||||||||
Bicimáquinas,  Imagen y Palabra|Bicimáquinas|12|Imagen y Palabra|12||||||
BID|Banco Interamericano de Desarrollo|10||||||||
BID - Universidad Católica del Uruguay|Banco Interamericano de Desarrollo|10|Universidad  Católica del Uruguay|1||||||
BID II|Banco Interamericano de Desarrollo|10||||||||
BID, CONICYT|Banco Interamericano de Desarrollo|10|Consejo Nacional de Innovación Ciencia y Tecnología (CONICYT) |3||||||
Bid-Conicyt Proyecto 153 - registrada en Biblioteca Nacional|Banco Interamericano de Desarrollo|10|Consejo Nacional de Innovación Ciencia y Tecnología (CONICYT) |3||||||
BID-PROLID-CEM Argentina|Banco Interamericano de Desarrollo|10|CEM|7||||||
BID/MGAP|Banco Interamericano de Desarrollo|10|Ministerio de Ganadería, Agricultura y Pesca|3||||||
Bio High-Tecnology Laboratories|Bio High-Tecnology Laboratories|5||||||||
Biofer Ltda y cooperacion con AID y Rutgers University|Biofer Ltda|5|Rutgers Office of Financial Aid|2||||||
Bloop Festival / City University of Hong Kong|Bloop Festival|9|City University of Hong Kong|2||||||
Botica del Señor|Botica del Señor SRL|5||||||||
Botica del Señor S.R.L.|Botica del Señor SRL|5||||||||
Brasil - PROSUL|PROSUL|8||||||||
Buda Musique (France)|Buda Musique|8||||||||
CALCAR|CALCAR|5||||||||
CALPROSE|Calprose|5||||||||
Canal 12, Contenidos producciones|Canal 12|5||||||||
Casa de Velázquez|Academia de Francia en España - Casa de Velázquez|2||||||||
CASMU IAMPP|CASMU|7||||||||
cátedra de microbiología||||||||||
CATEDRA DE tOXICOLOGIA E HIGIENE AMBIENTAL|Facultad de Química|1||||||||
CCC del Uruguay|CCC del Uruguay|5||||||||
CCC S.A.|CCC del Uruguay|5||||||||
CCC S.A. / Proyecto FINTEC|CCC del Uruguay|5||||||||
cdf|Centro de Fotografía|3||||||||
CDM (Centro de Documentación Musical Lauro Ayestarán)|Centro Nacional de Documentación Lauro Ayestarán|3||||||||
CEE y Universidad de Pisa|Comunidad Económica Europea|10|Universidad de Pisa|2||||||
CEIBAL|Plan CEIBAL|3||||||||
CEIP y MIDES- Uruguay|Consejo de Educación Inicial y Primaria  |3|Ministerio de Desarrollo Social|3||||||
